domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,874,0.79926335174953955,0.78909090909090907,0.80970149253731338,0.75057208237986273
Random sequence generation,mean,874,0.79926335174953955,0.78909090909090907,0.80970149253731338,0.75057208237986273
,,,,,,
Allocation concealment,0,1432,0.69266770670826838,0.78445229681978801,0.62011173184357538,0.72486033519553073
Allocation concealment,mean,1432,0.69266770670826838,0.78445229681978801,0.62011173184357538,0.72486033519553073
,,,,,,
Blinding of participants and personnel,0,732,0.60204081632653061,0.84285714285714286,0.46825396825396826,0.68032786885245899
Blinding of participants and personnel,mean,732,0.60204081632653061,0.84285714285714286,0.46825396825396826,0.68032786885245899
,,,,,,
Blinding of outcome assessment,0,142,0.46464646464646459,0.52272727272727271,0.41818181818181815,0.62676056338028174
Blinding of outcome assessment,mean,142,0.46464646464646459,0.52272727272727271,0.41818181818181815,0.62676056338028174
,,,,,,
Incomplete outcome data,0,801,0.75746268656716409,0.71858407079646014,0.80078895463510846,0.67540574282147314
Incomplete outcome data,mean,801,0.75746268656716409,0.71858407079646014,0.80078895463510846,0.67540574282147314
,,,,,,
Selective reporting,0,569,0.78272604588394057,0.74742268041237114,0.82152974504249288,0.71704745166959583
Selective reporting,mean,569,0.78272604588394057,0.74742268041237114,0.82152974504249288,0.71704745166959583
,,,,,,
Other,0,508,0.69465648854961837,0.68164794007490637,0.70817120622568097,0.68503937007874016
Other,mean,508,0.69465648854961837,0.68164794007490637,0.70817120622568097,0.68503937007874016
,,,,,,
